거래일,동,아파트,면적(㎡),층,금액(만원),평당가(만원)
2026.05.05,매교동,매교역푸르지오SKVIEW,85.0,6층,98700,3839.0
2026.05.04,망포동,방죽마을영통뜨란채,84.7,17층,36000,1404.4
2026.05.04,영통동,신나무실신명,84.9,11층,68500,2666.6
2026.05.04,매교동,매교역푸르지오SKVIEW,85.0,11층,95000,3695.1
2026.05.02,영통동,신나무실동보,84.9,1층,59500,2316.2
2026.05.02,망포동,영통롯데캐슬엘클래스1단지,85.0,14층,89000,3461.0
2026.05.02,매교동,매교역푸르지오SKVIEW,85.0,16층,98800,3842.9
2026.05.02,매교동,매교역푸르지오SKVIEW,85.0,8층,95500,3714.6
2026.05.01,망포동,방죽마을영통뜨란채,84.7,2층,50100,1955.4
2026.05.01,영통동,영통에듀파크(331동~337동),85.0,8층,86500,3364.9
2026.05.01,망포동,늘푸른벽산,84.9,4층,50500,1965.3
2026.05.01,영통동,영통e-편한세상,85.0,13층,55000,2139.0
2026.05.01,영통동,신나무실동보,84.9,12층,63000,2452.5
2026.05.01,매교동,힐스테이트푸르지오수원,84.9,5층,85800,3339.6
2026.04.30,망포동,힐스테이트영통,84.9,21층,127500,4963.9
2026.04.30,망포동,동수원자이1차,85.0,4층,63800,2481.6
2026.04.30,영통동,삼성,84.9,12층,65000,2529.4
2026.04.30,망포동,힐스테이트영통,84.5,23층,128000,5004.6
2026.04.30,영통동,신나무실동보,84.9,8층,68800,2678.3
2026.04.30,망포동,영통롯데캐슬엘클래스1단지,85.0,7층,91000,3539.0
2026.04.29,영통동,영통에듀파크(331동~337동),85.0,18층,88000,3423.3
2026.04.29,영통동,신나무실동보,84.9,13층,69800,2717.2
2026.04.29,망포동,방죽마을영통뜨란채,84.7,21층,56000,2184.6
2026.04.29,영통동,풍림,84.8,3층,48300,1881.6
2026.04.29,매교동,매교역푸르지오SKVIEW,85.0,14층,105000,4084.1
2026.04.28,영통동,영통에듀파크(331동~337동),85.0,10층,86900,3380.5
2026.04.28,영통동,영통에듀파크(331동~337동),85.0,10층,86900,3380.5
2026.04.28,망포동,쌍용스윗닷홈2차,84.9,10층,40000,1557.4
2026.04.28,영통동,영통e-편한세상,85.0,4층,58000,2255.7
2026.04.28,망포동,동수원자이1차,85.0,5층,61500,2392.1
2026.04.28,영통동,신나무실신명,84.9,5층,65750,2559.5
2026.04.28,망포동,영통아이파크캐슬3단지,84.7,5층,97000,3783.6
2026.04.27,망포동,늘푸른벽산,84.9,4층,55000,2140.4
2026.04.27,망포동,동수원자이1차,85.0,8층,60000,2333.8
2026.04.27,영통동,영통e-편한세상,85.0,2층,52500,2041.8
2026.04.27,망포동,늘푸른벽산,84.9,2층,53700,2089.8
2026.04.27,망포동,영통아이파크캐슬2단지,84.7,16층,97000,3785.4
2026.04.25,망포동,삼정라츠,84.9,5층,30000,1168.5
2026.04.23,영통동,영통3풍림아이원,84.9,21층,50000,1946.9
2026.04.22,영통동,풍림,84.8,16층,54500,2123.1
2026.04.22,망포동,힐스테이트영통,84.9,24층,129700,5049.6
2026.04.22,망포동,방죽마을영통뜨란채,84.7,13층,53000,2068.6
2026.04.21,영통동,벽산(1053-2),85.0,3층,54500,2120.1
2026.04.21,망포동,힐스테이트영통,84.9,15층,127800,4975.6
2026.04.20,영통동,신나무실동보,84.9,1층,59000,2296.8
2026.04.20,망포동,힐스테이트영통,84.9,29층,127000,4944.5
2026.04.20,영통동,벽산(1053-2),85.0,16층,54000,2100.6
2026.04.20,망포동,방죽마을영통뜨란채,84.7,11층,53500,2088.1
2026.04.20,망포동,쌍용스윗닷홈2차,84.9,10층,40000,1557.4
2026.04.20,망포동,망포벽산이빌리지,84.9,15층,44000,1712.8
2026.04.20,망포동,동수원자이1차,85.0,19층,60000,2333.8
2026.04.20,영통동,영통3풍림아이원,84.9,4층,55300,2153.3
